DEBUG:AppServices:2025-11-30 21:26:19,358:In get_all_users()...
DEBUG:AppServices:2025-11-30 21:26:24,101:In get_all_workouts()...
DEBUG:MySQLPersistenceWrapper:2025-11-30 21:27:00,645:DB Connection Config Dict: {'database': 'fitness_app', 'user': 'root', 'host': 'localhost', 'port': 3306, 'password': 'root'}
DEBUG:MySQLPersistenceWrapper:2025-11-30 21:27:00,661:Creating connection pool...
DEBUG:MySQLPersistenceWrapper:2025-11-30 21:27:00,756:Connection pool successfully created!
DEBUG:UserInterface:2025-11-30 21:27:00,763:User Interface initialized!
DEBUG:UserInterface:2025-11-30 21:27:00,768:User interface started!
DEBUG:MySQLPersistenceWrapper:2025-11-30 21:30:25,835:DB Connection Config Dict: {'database': 'fitness_app', 'user': 'root', 'host': 'localhost', 'port': 3306, 'password': 'root'}
DEBUG:MySQLPersistenceWrapper:2025-11-30 21:30:25,835:Creating connection pool...
DEBUG:MySQLPersistenceWrapper:2025-11-30 21:30:25,961:Connection pool successfully created!
DEBUG:UserInterface:2025-11-30 21:30:25,961:User Interface initialized!
DEBUG:UserInterface:2025-11-30 21:30:25,961:User interface started!
DEBUG:AppServices:2025-11-30 21:59:13,142:In get_all_users()...
DEBUG:AppServices:2025-11-30 21:59:33,477:In get_all_workouts()...
DEBUG:AppServices:2025-11-30 21:59:35,143:In get_all_users()...
DEBUG:MySQLPersistenceWrapper:2025-11-30 22:10:33,054:DB Connection Config Dict: {'database': 'fitness_app', 'user': 'root', 'host': 'localhost', 'port': 3306, 'password': 'root'}
DEBUG:MySQLPersistenceWrapper:2025-11-30 22:10:33,054:Creating connection pool...
DEBUG:MySQLPersistenceWrapper:2025-11-30 22:10:33,245:Connection pool successfully created!
DEBUG:UserInterface:2025-11-30 22:10:33,245:User Interface initialized!
DEBUG:UserInterface:2025-11-30 22:10:33,245:User interface started!
DEBUG:AppServices:2025-11-30 22:10:49,544:In get_all_users()...
DEBUG:AppServices:2025-11-30 22:11:10,928:In get_all_workouts()...
DEBUG:AppServices:2025-11-30 22:11:45,145:In add_user()...
DEBUG:AppServices:2025-11-30 22:11:49,373:In get_all_users()...
DEBUG:AppServices:2025-11-30 22:12:19,433:In get_all_exercises()...
DEBUG:AppServices:2025-11-30 22:12:39,441:In add_workout()...
DEBUG:AppServices:2025-11-30 22:12:44,085:In get_all_users()...
DEBUG:AppServices:2025-11-30 22:12:48,605:In get_all_workouts()...
DEBUG:AppServices:2025-11-30 22:12:51,951:In favorite_workout()...
DEBUG:AppServices:2025-11-30 22:12:54,360:In get_all_users()...
DEBUG:AppServices:2025-11-30 22:14:18,627:In get_all_workouts()...
